oh,  \hat{\omicron}
ph,  \hat{\pi}
rh,  \hat{\rho}
sh,  \hat{\sigma}
th,  \hat{\tau}
uh,  \hat{\upsilon}
fh,  \hat{\phi}
ch,  \hat{\chi}
yh,  \hat{\psi}
wh,  \hat{\omega}
Gh,  \hat{\Gamma}
Dh,  \hat{\Delta}
Qh,  \hat{\Theta}
Lh,  \hat{\Lambda}
Xh,  \hat{\Xi}
Ph,  \hat{\Pi}
Sh,  \hat{\Sigma}
Fh,  \hat{\Phi}
Yh,  \hat{\Psi}
at,  \tilde{\alpha}
bt,  \tilde{\beta}
gt,  \tilde{\gamma}
dt,  \tilde{\delta}
et,  \tilde{\epsilon}
zt,  \tilde{\zeta}
ht,  \tilde{\eta}
qt,  \tilde{\theta}
it,  \tilde{\iota}
kt,  \tilde{\kappa}
lt,  \tilde{\lambda}
mt,  \tilde{\mu}
nt,  \tilde{\nu}
xt,  \tilde{\xi}
ot,  \tilde{\omicron}
pt,  \tilde{\pi}
rt,  \tilde{\rho}
st,  \tilde{\sigma}
tt,  \tilde{\tau}
ut,  \tilde{\upsilon}
ft,  \tilde{\phi}
ct,  \tilde{\chi}
yt,  \tilde{\psi}
